PANTONE Coated
112	PANTONE 1645 C	66.593	56.954	52.290
113	PANTONE 1655 C	60.789	65.701	66.853
114	PANTONE 1665 C	54.235	58.589	60.550
115	PANTONE 1675 C	41.944	41.502	41.376
116	PANTONE 1685 C	34.395	32.105	31.012
117	PANTONE 169 C	82.254	27.500	11.891
118	PANTONE 170 C	72.874	46.457	27.746
119	PANTONE 171 C	63.887	62.934	50.783
120	PANTONE 172 C	59.082	68.310	63.521
121	PANTONE 173 C	52.452	54.720	47.998
122	PANTONE 174 C	39.243	40.270	35.016
123	PANTONE 175 C	32.296	25.026	19.066
124	PANTONE 176 C	80.774	32.728	4.313
125	PANTONE 177 C	71.200	52.144	16.349
126	PANTONE 178 C	63.605	65.415	32.514
127	PANTONE Warm Red C	58.412	69.920	47.684
128	PANTONE 179 C	52.640	64.383	45.260
129	PANTONE 180 C	45.679	54.366	35.342
130	PANTONE 181 C	30.608	36.387	21.936
131	PANTONE 1765 C	76.713	39.547	3.835
132	PANTONE 1775 C	72.514	47.348	7.610
133	PANTONE 1785 C	58.768	69.882	29.858
134	PANTONE 1788 C	53.773	73.341	43.427
135	PANTONE 1795 C	46.775	66.353	42.310
136	PANTONE 1805 C	40.365	54.111	30.061
137	PANTONE 1815 C	29.387	37.827	19.430
138	PANTONE 1767 C	80.608	31.002	-0.383
139	PANTONE 1777 C	64.658	62.010	14.774
140	PANTONE 1787 C	58.239	71.997	29.488
141	PANTONE Red 032 C	54.307	74.350	44.568
142	PANTONE 1797 C	45.254	62.444	38.839
143	PANTONE 1807 C	38.887	47.701	22.388
144	PANTONE 1817 C	26.559	22.062	7.961
145	PANTONE 182 C	82.865	26.121	-2.943
146	PANTONE 183 C	74.267	42.722	1.252
147	PANTONE 184 C	61.805	63.799	13.847
148	PANTONE 185 C	50.280	76.364	41.640
149	PANTONE 186 C	44.384	67.888	37.169
150	PANTONE 187 C	38.368	57.359	26.875
151	PANTONE 188 C	29.674	38.233	12.699
152	PANTONE 189 C	76.860	35.664	-3.292
153	PANTONE 190 C	67.244	52.948	2.511
154	PANTONE 191 C	57.282	69.076	13.748
155	PANTONE 192 C	50.573	75.502	29.389
156	PANTONE 193 C	42.443	64.240	24.810
157	PANTONE 194 C	35.581	50.273	14.290
158	PANTONE 195 C	31.420	33.198	5.982
159	PANTONE 1895 C	82.601	24.232	-6.561
160	PANTONE 1905 C	74.999	38.118	-5.084
161	PANTONE 1915 C	59.251	64.624	4.237
162	PANTONE 1925 C	49.178	75.465	22.981
163	PANTONE 1935 C	44.006	68.833	21.679
164	PANTONE 1945 C	37.514	58.761	15.896
165	PANTONE 1955 C	32.997	49.413	11.123
166	PANTONE 196 C	83.390	16.262	-2.881
167	PANTONE 197 C	72.640	33.558	0.538
168	PANTONE 198 C	55.631	60.838	14.885
169	PANTONE 199 C	46.540	71.923	33.661
170	PANTONE 200 C	41.721	64.289	29.192
171	PANTONE 201 C	35.437	52.673	21.614
172	PANTONE 202 C	31.536	43.189	15.137
173	PANTONE 203 C	78.031	26.736	-8.365
174	PANTONE 204 C	65.980	46.785	-6.145
175	PANTONE 205 C	54.926	64.273	1.741
176	PANTONE 206 C	44.646	74.703	23.644
177	PANTONE 207 C	36.992	62.240	16.079
178	PANTONE 208 C	32.932	46.604	4.881
179	PANTONE 209 C	27.508	35.463	3.091
180	PANTONE 210 C	76.946	40.279	-11.079
181	PANTONE 211 C	68.389	55.696	-10.056
182	PANTONE 212 C	59.806	68.926	-6.115
183	PANTONE 213 C	51.950	75.765	2.830
184	PANTONE 214 C	45.773	71.555	4.876
185	PANTONE 215 C	38.148	60.029	2.615
186	PANTONE 216 C	31.112	41.887	-0.681
187	PANTONE 217 C	81.748	23.032	-13.225
188	PANTONE 218 C	63.666	54.814	-17.694
189	PANTONE 219 C	50.510	74.714	-9.128
190	PANTONE Rubine Red C	44.188	77.740	6.160
191	PANTONE 220 C	36.128	65.500	1.258
192	PANTONE 221 C	31.831	58.302	0.159
193	PANTONE 222 C	25.293	39.163	-3.930
194	PANTONE 223 C	73.219	44.262	-18.854
195	PANTONE 224 C	63.700	60.901	-20.692
196	PANTONE 225 C	53.305	76.352	-17.923
197	PANTONE 226 C	44.762	81.017	-5.822
198	PANTONE 227 C	36.622	68.670	-6.706
199	PANTONE 228 C	29.733	53.192	-8.449
200	PANTONE 229 C	25.514	35.732	-6.330
201	PANTONE 230 C	77.919	38.259	-16.816
202	PANTONE 231 C	67.848	58.026	-22.547
203	PANTONE 232 C	57.273	74.648	-22.976
204	PANTONE Rhodamine Red C	52.293	78.838	-20.674
205	PANTONE 233 C	44.235	74.796	-17.232
206	PANTONE 234 C	36.475	63.756	-14.393
207	PANTONE 235 C	30.103	53.972	-10.940
208	PANTONE 236 C	79.675	33.125	-18.939
209	PANTONE 237 C	70.835	48.561	-24.351
210	PANTONE 238 C	60.915	63.886	-28.226
211	PANTONE 239 C	54.653	70.595	-28.620
212	PANTONE 240 C	46.519	67.557	-25.975
213	PANTONE 241 C	39.597	60.128	-22.322
214	PANTONE 242 C	29.666	42.702	-13.409
215	PANTONE 2365 C	83.796	22.842	-14.990
216	PANTONE 2375 C	64.467	55.161	-29.796
217	PANTONE 2385 C	52.037	72.185	-34.176
218	PANTONE 2395 C	45.046	77.546	-33.120
219	PANTONE 2405 C	37.491	69.621	-29.591
220	PANTONE 2415 C	32.797	62.562	-26.024
221	PANTONE 2425 C	29.076	53.368	-21.541
222	PANTONE 243 C	82.064	24.863	-18.348
223	PANTONE 244 C	74.555	36.851	-25.172
224	PANTONE 245 C	67.411	47.576	-30.769
225	PANTONE 246 C	47.526	72.504	-38.027
226	PANTONE 247 C	42.082	70.737	-36.323
227	PANTONE 248 C	38.308	60.311	-31.268
228	PANTONE 249 C	31.123	40.589	-18.954
229	PANTONE 250 C	82.574	20.925	-18.067
230	PANTONE 251 C	72.969	35.137	-28.761
231	PANTONE 252 C	59.145	53.669	-40.375
232	PANTONE Purple C	48.131	66.199	-46.308
233	PANTONE 253 C	42.930	64.357	-44.170
234	PANTONE 254 C	39.441	55.998	-38.782
235	PANTONE 255 C	30.411	38.053	-24.239
236	PANTONE 256 C	83.161	13.229	-15.338
237	PANTONE 257 C	73.707	21.440	-21.759
238	PANTONE 258 C	45.284	40.039	-33.695
239	PANTONE 259 C	29.859	42.683	-34.843
240	PANTONE 260 C	27.084	36.527	-27.405
241	PANTONE 261 C	25.018	32.514	-21.780
242	PANTONE 262 C	24.083	26.184	-15.936
243	PANTONE 2562 C	75.698	25.415	-27.796
244	PANTONE 2572 C	66.361	35.461	-37.208
245	PANTONE 2582 C	49.391	52.548	-51.177
246	PANTONE 2592 C	38.960	60.747	-56.484
247	PANTONE 2602 C	32.471	57.689	-51.367
248	PANTONE 2612 C	28.801	45.738	-38.384
249	PANTONE 2622 C	27.718	30.009	-22.373
250	PANTONE 2563 C	72.558	23.268	-26.263
251	PANTONE 2573 C	61.764	31.584	-33.768
252	PANTONE 2583 C	50.374	39.316	-40.080
253	PANTONE 2593 C	37.810	45.868	-44.318
254	PANTONE 2603 C	30.489	45.310	-41.778
255	PANTONE 2613 C	26.705	42.880	-38.123
256	PANTONE 2623 C	25.112	37.444	-32.020
257	PANTONE 2567 C	69.664	22.443	-30.783
258	PANTONE 2577 C	58.853	29.989	-39.479
259	PANTONE 2587 C	42.921	40.760	-49.820
260	PANTONE 2597 C	24.919	49.410	-56.674
261	PANTONE 2607 C	22.095	44.352	-50.219
262	PANTONE 2617 C	20.380	40.230	-44.899
263	PANTONE 2627 C	17.654	33.882	-36.951
264	PANTONE 263 C	84.922	9.992	-18.156
265	PANTONE 264 C	74.762	17.255	-31.038
